1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,1.554364975,0,0,1.919078092,0,3.554364975,0,1.796236869,1.714582193,0.698970004,1.544068044,0.698970004,4.033169355,0,1.724631995,2.279002598,0.77815125,1.892094603,0.77815125,4.362175855,0,0,2.421246704,0.602059991,1.591064607,0.602059991,4.158122543
0.301029996,1.358039656,0,-0.301029996,1.69019608,0,3.196888747,0,1.408349072,0,0.477121255,1.73239376,0.477121255,3.508719617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.579859117,0,0,2.037426498,0,3.431117466,0,0,2.708656505,0,1.763427994,0,3.407626509,0,0,1.895970176,0,1.62324929,0,3.414484116
0,0,0,0,0,0,0,0,1.593782563,0,0,2.152288344,0,3.17356616,0,0,0,0,0,0,0,0,0,3.115372737,0,2.222716471,0,3.115372737
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45689124,0,0,1.851258349,0,3.494317738
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.482731366,0,0.477121255,0.698970004,0.477121255,3.733151369,0,0,0,0,0,0,0
0.477121255,2.128361453,1.480340735,-0.176091259,0,0.301029996,3.731894395,0.698970004,2.143351394,0,-0.397940009,2.06069784,0.301029996,3.921502644,0,3.431952202,0,0,0,0,3.431952202,0,0,3.577154565,0.301029996,1.62324929,0.301029996,3.881592947
0,0,0,0,0,0,0,0,2.286825541,0.417435954,0.477121255,0.602059991,0.477121255,3.40971398,0,0,0.598064934,0,1.633468456,0,3.395970697,0,0,1.442227398,0,1.954242509,0,3.396469907
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644696903,0,0.301029996,1.544068044,0.301029996,3.806064905
0,2.229028825,0,0,2.227886705,0,3.375156861,0,0.918326041,0.617625643,0.301029996,1.380211242,0.301029996,3.243722927,0.301029996,0,0.735592798,-0.301029996,1.278753601,0,3.395970697,0,1.872601826,0,0,2.064457989,0,3.6787818
0,3.508169381,0,0,2.096910013,0,3.508169381,0,3.71952825,0,0.477121255,1.973127854,0.477121255,3.71952825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.700811059,0,0.477121255,1.72427587,0.477121255,3.648428849,0.477121255,0,1.940265091,-0.477121255,1.755874856,0,3.884747764,0,0,0,0,0,0,0
