B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4
0,1.554364975,0,0,0,1.796236869,1.714582193,0.698970004,0,1.724631995,2.279002598,0.77815125,0,0,2.421246704,0.602059991
0.301029996,1.358039656,0,-0.301029996,0,1.408349072,0,0.477121255,0,0,0,0,0,0,0,0
0,0,0,0,0,1.579859117,0,0,0,0,2.708656505,0,0,0,1.895970176,0
0,0,0,0,0,1.593782563,0,0,0,0,0,0,0,0,3.115372737,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.45689124,0,0
0,0,0,0,0,0,0,0,0,1.482731366,0,0.477121255,0,0,0,0
0.477121255,2.128361453,1.480340735,-0.176091259,0.698970004,2.143351394,0,-0.397940009,0,3.431952202,0,0,0,0,3.577154565,0.301029996
0,0,0,0,0,2.286825541,0.417435954,0.477121255,0,0,0.598064934,0,0,0,1.442227398,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.644696903,0,0.301029996
0,2.229028825,0,0,0,0.918326041,0.617625643,0.301029996,0.301029996,0,0.735592798,-0.301029996,0,1.872601826,0,0
0,3.508169381,0,0,0,3.71952825,0,0.477121255,0,0,0,0,0,0,0,0
0,0,0,0,0,1.700811059,0,0.477121255,0.477121255,0,1.940265091,-0.477121255,0,0,0,0
0.602059991,3.919990844,1.69651558,0.243038049,0,0,3.713261354,0,0.602059991,2.016031231,2.016291589,-0.124938737,0.301029996,0,3.628192181,0.176091259
0,0,0,0,0,0.532614854,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.483347223,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.569386076,0,-0.301029996
0,0,0,0,0,2.048890959,0,0.301029996,0,0,1.01301587,0,0,0,0,0
0,1.511010321,0,0.301029996,0,1.332226012,0,0.301029996,0.477121255,2.74647291,2.99628993,0.124938736,0,0,0,0
0,3.248099848,1.665539263,0.698970004,0,0,0,0,0,0,0,0,0.301029996,2.291193346,0,0.176091259
0,0,0,0,0,0,0,0,0,1.200800633,0,0,0,0,0,0
0,2.035517491,1.197383574,0.301029996,0,0,0,0,0,0,1.374202753,0,0,0,0,0
0,0,0,0,0,1.291916096,0,0,0,0,1.764689695,0,0.301029996,3.592571347,3.604943636,0.477121255
0,0,0,0,0,1.913654589,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.963530126,0.495404867,0.77815125,0,0,0,0,0,0,1.569611447,0
0,1.457847763,0,0,0,1.559625636,0,0.301029996,0.301029996,2.294148823,3.521462926,0.301029996,0,0,0,0
0.301029996,3.494787489,1.58886235,0.397940009,0.477121255,1.977823628,0,-0.477121255,0,0,0,0,0.477121255,0,3.287522243,-0.176091259
0,0,0,0,0,1.807574477,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.381765642,1.004114212,0.477121255,0,0,2.517426321,0
0,1.173997663,0,0,0,2.712766344,3.133538908,0.477121255,0,0,0,0,0.301029996,0,2.064412056,0.176091259
0,1.87731109,0,0.301029996,0,0,1.471330273,0,0,0,0,0,0,0,1.668404013,0
0,0,0,0,0.301029996,1.287332455,0,0,0,1.745853165,0.816747407,0.477121255,0,0,3.720751325,0
0,1.332612561,0,0,0,2.684964985,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.059969288,0,0,0,0,0,0,0,1.591821482,0,0.301029996
0,3.02023193,1.455141627,1,0,0,1.840776319,0.477121255,0,0,3.461788282,0.301029996,0,0,0,0
