R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
0,0,0,1.84509804,0,3.441099873,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.113943352,0,3.017196484
1.602059991,0.602059991,4.007087113,1.591064607,0.477121255,3.802449638,0,0,0,1.832508913,0.477121255,3.838205259
0,0,0,2.017033339,0,3.13008747,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.235528447,0,3.118691333
0,0,0,0,0,0,0,0,0,1.785329835,0.301029996,3.548013622
0,0,0,0,0,0,0,0,0,2.033423755,0,2.931339283
0,0,0,2.004321374,0,3.400398708,1.832508913,0,3.193124598,0,0,0
0,0,0,1.944482672,0,3.142787837,0,0,0,0,0,0
0,0,0,0,0,0,1.84509804,0,3.29666519,2.025305865,0.301029996,3.845567294
0,0,0,0,0,0,0.954242509,0,3.407626509,0,0,0
1.748188027,0.301029996,3.574459262,1.531478917,0,3.133538908,0,0,0,0,0,0
2.146128036,0.301029996,3.942140204,0,0,0,0,0,0,0,0,0
1.477121255,0,3.179842713,0,0,0,0,0,0,0,0,0
0.602059991,0.301029996,3.68483065,1.531478917,0,3.409187392,0.698970004,0,3.407626509,0,0,0
1.826074803,0,3.335449025,2.045322979,0,4.263486297,0,0,0,0,0,0
0,0,0,2.139879086,0,3.431117466,0,0,0,0,0,0
0,0,0,2.021189299,0,3.089745848,0,0,0,1.84509804,0.301029996,3.132555068
0,0,0,2.017033339,0.301029996,3.263617013,2.204119983,0,3.001568332,0,0,0
1.041392685,0,3.113622157,0,0,0,2.164352856,0,3.305544385,1.176091259,0,3.017196484
1.662757832,0.698970004,4.122475753,0,0,0,0,0,0,0,0,0
0,0,0,1.51851394,0,2.662948622,0,0,0,2.181843588,0,3.6787818
1.414973348,0,3.138204664,0,0,0,0,0,0,0,0,0
2.225309282,0,3.375156861,0,0,0,0,0,0,0,0,0
1.477121255,0.301029996,3.404803656,2.217483944,0,3.678499248,0,0,0,0,0,0
2.103803721,0,3.375156861,0,0,0,0,0,0,0,0,0
2.113943352,0,3.959796777,1.86332286,0,3.710217388,0,0,0,0,0,0
1.851258349,0.301029996,3.887297597,0,0,0,1.919078092,0.301029996,3.670245853,2.181843588,0,3.494154594
1.612783857,0.301029996,3.817140764,0,0,0,0,0,0,0,0,0
1.477121255,0.477121255,3.716183329,1.505149978,0.301029996,3.778236085,2.152288344,0,3.483136628,1.431363764,0.602059991,3.757504082
2.08278537,0,3.676186857,0,0,0,2.117271296,0,3.001568332,0,0,0
1.672097858,0,3.156424966,2.068185862,0,3.301136167,0,0,0,0,0,0
0.77815125,0.903089987,4.268669523,1.86332286,0.477121255,3.877845206,1.477121255,0,3.679763559,0,0,0
1.991226076,0,3.112130326,0,0,0,0,0,0,0,0,0
1.785329835,0.301029996,4.869417223,1.505149978,0.301029996,4.327879898,1.342422681,0.301029996,4.202145325,2.071882007,0.301029996,4.311550524
0,0,0,0,0,0,0,0,0,2.025305865,0,3.394222979
0,0,0,0,0,0,0,0,0,1.113943352,0,3.193287743
1.77815125,0.698970004,4.149411207,2.146128036,0.477121255,4.074278867,1.361727836,0.301029996,4.012769193,0.77815125,0,3.626694535
0,0,0,0,0,0,0,0,0,2.184691431,0,3.118691333
0,0,0,2.071882007,0,3.089745848,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.167317335,0,3.217774402
0,0,0,1.913813852,0,3.108157396,1.62324929,0,3.106596513,0,0,0
0,0,0,0,0,0,0,0,0,1.176091259,0,3.017196484
1.544068044,0.602059991,3.883701911,1.51851394,0.477121255,3.531055083,1.740362689,0.301029996,3.6729502,0,0,0
0.698970004,0,3.138204664,0,0,0,0,0,0,0,0,0
2.041392685,0.301029996,3.493321416,0,0,0,1.477121255,0,3.679763559,0,0,0
0,0,0,0,0,0,1.838849091,0.301029996,3.493015918,0,0,0
0,0,0,0,0,0,0,0,0,2.068185862,0,3.39707055
2.089905111,0.301029996,3.898372906,0,0,0,0,0,0,0,0,0
2.113943352,0,3.852278116,0,0,0,2.120573931,0,3.001568332,0,0,0
0,0,0,0,0,0,0,0,0,0.602059991,0,3.511394128
0,0,0,0,0,0,0,0,0,2.025305865,0,3.494802604
0,0,0,0,0,0,1.643452676,0.301029996,3.509518274,0,0,0
0,0,0,1.544068044,0.301029996,3.132074001,0,0,0,0,0,0
1.86923172,0.301029996,3.642116845,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.556302501,0,3.29666519,0,0,0
0.77815125,0,3.457454962,0,0,0,0,0,0,0,0,0
2.206825876,0.301029996,3.263029207,0,0,0,0,0,0,0,0,0
0.698970004,0,3.156424966,0,0,0,0,0,0,2.184691431,0.301029996,3.819834394
1.041392685,0,3.607445533,0,0,0,0,0,0,0,0,0
0,0,0,1.51851394,0,3.409187392,0,0,3.407626509,0,0,0
0,0,0,2.021189299,0,3.172705261,1.301029996,0,3.193124598,0,0,0
0,0.477121255,3.934576216,1.079181246,0.477121255,3.95698226,1.531478917,0,3.407626509,1.612783857,0.602059991,4.269717222
2.238046103,0,3.375156861,1.880813592,0,3.723687452,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.041392685,0.301029996,3.753958909
1.851258349,0.477121255,3.418737497,2.214843848,0,2.714808585,0,0,0,1.959041392,0,3.395149218
1.079181246,0,3.149295725,0,0,0,0,0,0,0,0,0
2.245512668,0.301029996,3.727491597,0,0,0,0,0,0,0,0,0
1.278753601,0,3.516110521,0,0,0,0,0,0,1.73239376,0.477121255,3.895115827
0,0,0,0,0,0,0,0,0,1.531478917,0,3.444249174
0,0,0,1.612783857,0,3.723687452,0,0,0,0.77815125,0.301029996,3.834454005
0,0,0,1.949390007,0,3.710217388,1.785329835,0,3.708656505,0,0,0
1.851258349,0.602059991,3.753835533,1.230448921,0,3.098997634,0,0,0,0,0,0
2.08278537,0,3.852278116,0,0,0,0,0,0,0,0,0
0,0,0,2.100370545,0,3.379124146,1.361727836,0,3.679763559,0,0,0
0,0,0,0,0,0,0,0,0,2.204119983,0,2.838805681
1.477121255,0,3.179842713,0,0,0,0,0,0,0,0,0
1.041392685,0.301029996,3.762753284,0,0,0,0,0,0,1.832508913,0.602059991,4.395854274
0,0,0,2.093421685,0.477121255,3.558234728,0,0,0,0,0,0
2.201397124,0,3.394922654,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.959041392,0.698970004,4.018937433,0,0,0
0,0,0,0,0,0,1.959041392,0,3.139879086,1.544068044,0,3.139879086
0,0,0,2.195899652,0,3.169302314,0,0,0,0,0,0
1.146128036,0.602059991,4.064139429,1.886490725,0.477121255,3.504589784,1.69019608,0.301029996,3.951666591,0,0,0
0,0,0,1.913813852,0,3.384758869,0,0,0,0,0,0
1.255272505,0.301029996,4.559120102,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.161368002,0,3.39707055
0,0,0,1.959041392,0,3.355710667,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.243038049,0.301029996,2.847857287
0,0,0,0,0,0,0,0,0,2.149219113,0,3.6787818
1.477121255,0,3.179842713,0,0,0,0,0,0,0,0,0
1.505149978,0,2.878812717,0,0,0,0,0,0,0.77815125,0,3.626694535
0,0,0,2.123851641,0,3.183411103,1.568201724,0,3.407626509,0,0,0
1.505149978,0,3.149295725,0,0,0,0,0,0,0,0,0
0,0,0,0.84509804,0.903089987,3.77669792,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.033423755,0.301029996,3.457078293
0,0,0,0,0,0,1.954242509,0,3.245512668,0,0,0
0,0,0,1.591064607,0,3.409187392,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.431363764,0,3.268157915
0,0,0,2.217483944,0,2.714808585,0,0,0,0,0,0
0,0,0,2.117271296,0.301029996,3.390367187,0,0,0,0,0,0
1.740362689,0,2.895533495,0,0,0,0,0,0,0,0,0
2.255272505,0,3.852278116,0,0,0,0,0,0,0,0,0
0,0,0,2.136720567,0,3.13008747,0,0,0,0,0,0
0,0,0,2.004321374,0,3.163475845,0,0,0,0,0,0
0,0,0,2.045322979,0.301029996,3.26462429,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.139879086,0,3.138173761
0,0,0,0,0,0,0,0,0,1.113943352,0,3.017196484
1.278753601,0.301029996,3.57777654,0,0,0,0,0,0,0,0,0
1.255272505,0,3.138204664,1.322219295,0.477121255,3.175321872,1.892094603,0,3.395970697,0,0,0
0,0,0,0,0,0,1.949390007,0,3.130922206,0,0,0
2.146128036,0,3.112130326,0,0,0,2.167317335,0,3.139879086,0,0,0
0.77815125,0.301029996,3.625019102,0,0,0,1.763427994,0,3.106596513,2.017033339,0.301029996,3.418065201
2.068185862,0.477121255,3.637576383,1.973127854,0.477121255,3.84613183,2.045322979,0,3.140405056,0,0,0
1.041392685,0,3.302945803,0,0,0,0,0,0,0,0,0
2.252853031,0,3.66352169,0,0,0,0,0,0,0,0,0
2.206825876,0,3.128361453,2.146128036,0,3.17356616,0,0,0,0,0,0
0.77815125,0.698970004,4.328716314,1.662757832,0.698970004,4.063771235,0,0,0,1.633468456,0.477121255,4.082312467
0,0,0,1.792391689,0,3.493004698,0,0,0,0,0,0
0,0,0,2.217483944,0,3.297643998,0,0,0,0,0,0
1.977723605,0,3.852278116,0,0,0,0,0,0,0,0,0
0,0,0,1.944482672,0,3.409187392,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.214843848,0,3.315926935
0,0,0,1.913813852,0.477121255,3.901051039,0,0,0,0,0,0
0,0,0,0,0,0,1.812913357,0,3.133538908,0,0,0
0,0,0,1.919078092,0.698970004,3.93605683,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.505149978,0.477121255,3.729213907
1.477121255,0,3.179842713,0,0,0,0,0,0,0,0,0
1.838849091,0.477121255,4.170770805,0,0,0,0,0,0,0,0,0
0,0,0,1.799340549,0,3.355710667,0,0,0,0,0,0
0,0,0,2.187520721,0.301029996,3.193833837,2.068185862,0,3.011445349,0,0,0
0,0,0,1.991226076,0,3.172705261,0,0,0,0,0,0
0,0,0,2.100370545,0,3.379124146,0,0,0,0,0,0
0,0,0,2.049218023,0,3.153788186,1.851258349,0.301029996,3.596431956,0,0,0
0,0,0,2.017033339,0.602059991,3.732147461,0.954242509,0,3.407626509,2.184691431,0,3.118691333
0,0,0,2.113943352,0,3.153788186,0,0,0,0,0,0
0.301029996,0.301029996,3.516589849,1.602059991,1,4.768419581,0,0,0,0,0,0
0,0,0,0,0,0,1.959041392,0,3.506828085,2.198657087,0,3.850868922
0.903089987,0.301029996,3.596935445,0,0,0,0,0,0,0,0,0
2.209515015,0.602059991,3.998641365,0,0,0,0,0,0,0,0,0
0,0,0,2.155336037,0,3.17356616,0,0,0,0,0,0
0,0,0,1.944482672,0,2.662948622,0,0,0,0.84509804,0,3.396469907
1.72427587,0,3.457454962,0,0,0,0,0,3.407626509,0,0,0
0,0,0,0,0,0,0.698970004,0,3.408239965,0,0,0
0,0,0,2.146128036,0,2.996614002,0,0,0,0,0,0
1.255272505,0.602059991,4.062214471,0,0,0,0,0,0,1.86923172,0,3.927724531
0,0,0,1.079181246,0,3.142787837,0,0,0,2.240549248,0,3.107430542
0,0,0,2.075546961,0,3.089745848,0,0,0,0,0,0
1.949390007,0,3.038989266,0,0,0,0,0,0,0,0,0
0,0,0,2.195899652,0,3.371927343,0,0,0,0,0,0
2.243038049,0.301029996,3.545111861,0,0,0,0,0,0,0,0,0
0.77815125,0.301029996,3.457454962,1.897627091,0.477121255,3.674718943,1.959041392,0,3.383745137,1.62324929,0,3.414484116
0,0,0,2.045322979,0,3.163475845,0,0,0,0,0,0
2.117271296,0.477121255,3.708875831,0,0,0,0,0,0,0,0,0
1.633468456,0.602059991,4.08402578,0,0,0,0,0,0,0,0,0
0,0,0,1.740362689,0.698970004,3.601331506,0,0,0,0,0,0
0,0,0,2.195899652,0,3.169302314,0,0,0,0,0,0
0.602059991,0.301029996,3.321827484,0,0,0,0,0,0,1.278753601,0.301029996,3.11916598
0,0,0,0,0,0,0.84509804,0,3.045222966,1.633468456,0.477121255,3.357390251
1.505149978,0,3.179842713,0,0,0,0,0,0,0,0,0
1.041392685,0,3.302945803,0,0,0,0,0,0,2.033423755,0,3.494802604
