R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
1.919078092,0,3.554364975,1.544068044,0.698970004,4.033169355,1.892094603,0.77815125,4.362175855,1.591064607,0.602059991,4.158122543
1.69019608,0,3.196888747,1.73239376,0.477121255,3.508719617,0,0,0,0,0,0
0,0,0,2.037426498,0,3.431117466,1.763427994,0,3.407626509,1.62324929,0,3.414484116
0,0,0,2.152288344,0,3.17356616,0,0,0,2.222716471,0,3.115372737
0,0,0,0,0,0,0,0,0,1.851258349,0,3.494317738
0,0,0,0,0,0,0.698970004,0.477121255,3.733151369,0,0,0
0,0.301029996,3.731894395,2.06069784,0.301029996,3.921502644,0,0,3.431952202,1.62324929,0.301029996,3.881592947
0,0,0,0.602059991,0.477121255,3.40971398,1.633468456,0,3.395970697,1.954242509,0,3.396469907
0,0,0,0,0,0,0,0,0,1.544068044,0.301029996,3.806064905
2.227886705,0,3.375156861,1.380211242,0.301029996,3.243722927,1.278753601,0,3.395970697,2.064457989,0,3.6787818
2.096910013,0,3.508169381,1.973127854,0.477121255,3.71952825,0,0,0,0,0,0
0,0,0,1.72427587,0.477121255,3.648428849,1.755874856,0,3.884747764,0,0,0
0.698970004,0.84509804,4.411910136,2.250420002,0,3.713261354,0,0.477121255,4.293676077,1.079181246,0.477121255,3.800365898
0,0,0,1.653212514,0,2.662948622,0,0,0,0,0,0
0,0,0,0,0,0,1.176091259,0,3.708656505,0,0,0
0,0,0,0,0,0,0,0,0,1.880813592,0,3.414484116
0,0,0,1.959041392,0.301029996,3.445125214,2.149219113,0,3.139879086,0,0,0
1.662757832,0.301029996,3.647730888,1.653212514,0.301029996,3.462559781,1.612783857,0.602059991,3.889483987,0,0,0
0.602059991,0.698970004,4.153119917,0,0,0,0,0,0,1.681241237,0.477121255,3.914442636
0,0,0,0,0,0,1.342422681,0,3.407626509,0,0,0
0,0.301029996,3.642116845,0,0,0,1.875061263,0,3.407626509,0,0,0
0,0,0,1.69019608,0,3.409187392,2.029383778,0,3.645503287,1.62324929,0.77815125,4.14681513
0,0,0,2.204119983,0,3.214684585,0,0,0,0,0,0
0,0,0,1.505149978,0.77815125,3.802939014,0,0,0,2.045322979,0,3.408460537
0.903089987,0,3.700885811,1.986771734,0.301029996,3.478703729,1.643452676,0.602059991,3.983259875,0,0,0
1.531478917,0.698970004,3.948715626,1.672097858,0,3.409187392,0,0,0,2.217483944,0.301029996,3.588552239
0,0,0,2.195899652,0,3.169302314,0,0,0,0,0,0
0,0,0,0,0,0,1.897627091,0.477121255,3.55082111,1.785329835,0,3.295577571
1.397940009,0,3.37265475,1.86332286,0.477121255,3.778530907,0,0,0,1.886490725,0.477121255,3.716442866
1.995635195,0.301029996,3.801590376,1.51851394,0,3.638647608,0,0,0,1.886490725,0,3.681241237
0,0,0,1.681241237,0.301029996,3.340410899,1.897627091,0.477121255,3.81122416,2.071882007,0,3.720751325
1.826074803,0,3.39707055,1.748188027,0,3.38393499,0,0,0,0,0,0
0,0,0,1.86332286,0,3.089353066,0,0,0,1.785329835,0.301029996,3.667368443
1.698970004,1,4.539986616,1.886490725,0.477121255,3.853613544,2.012837225,0.301029996,3.762818277,0,0,0
0.77815125,0.301029996,4.300160537,2.06069784,0.301029996,3.6405971,1.892094603,0,3.732982197,1.69019608,0,3.862294524
1.041392685,0.301029996,3.516812081,0,0,0,0,0,0,2.033423755,0,3.494802604
0,0,0,1.875061263,0.301029996,3.357115416,1.949390007,0.301029996,3.587563863,0,0,0
2.068185862,0,3.168171281,0,0,0,0,0,0,0,0,0
2.181843588,0.301029996,3.712745561,0,0,0,1.531478917,0,3.679763559,1.698970004,0,3.741403917
1.799340549,0.77815125,4.202122253,1.799340549,0.301029996,3.304507143,0,0,0,1.924279286,0.301029996,3.977557231
2.217483944,0.301029996,3.52140284,1.84509804,0,3.512484877,1.875061263,0,3.383745137,2.033423755,0,3.394222979
0,0,0,2.133538908,0,3.371927343,0,0,0,0,0,0
0,0,0,0,0,0,0.954242509,0.301029996,3.067229833,1.079181246,0,3.064457989
0,0,0,0,0,0,0,0,0,1.633468456,0,3.318226479
0,0,0,0,0,0,0,0,0,2.201397124,0,3.118691333
1.792391689,0.301029996,3.851088678,0,0,0,0,0,0,1.954242509,0,3.626694535
0,0,0,1.913813852,0,3.409187392,0,0,0,1.785329835,0,3.11345412
0,0,0,0,0,0,0,0,0,2.161368002,0,3.731863959
1.977723605,0,3.062585413,1.880813592,0,3.337617612,0,0,0,0,0,0
0,0,0,1.544068044,0,3.409187392,0,0,0,0,0,0
1.86923172,0.477121255,3.643070294,1.531478917,0.698970004,3.927268074,1.361727836,0.477121255,3.547273388,2.181843588,0.301029996,3.639176636
