R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
1.544068044,0.698970004,4.033169355,1.892094603,0.77815125,4.362175855,1.591064607,0.602059991,4.158122543,1.146128036,0.698970004,4.321883359
1.591064607,0.477121255,3.802449638,0,0,0,1.832508913,0.477121255,3.838205259,0,0,0
2.037426498,0,3.431117466,1.763427994,0,3.407626509,1.62324929,0,3.414484116,0.77815125,0,3.130799164
0,0,0,0,0,0,1.785329835,0.301029996,3.548013622,0,0,0
2.152288344,0,3.17356616,0,0,0,2.222716471,0,3.115372737,2.004321374,0,3.411049154
0,0,0,0,0,0,1.851258349,0,3.494317738,2.08278537,0,3.400304733
2.06069784,0.301029996,3.921502644,0,0,3.431952202,1.62324929,0.301029996,3.881592947,2.260071388,0,3.137300608
0.602059991,0.477121255,3.40971398,1.633468456,0,3.395970697,1.954242509,0,3.396469907,1.716003344,0,3.39707055
1.380211242,0.301029996,3.243722927,1.278753601,0,3.395970697,2.064457989,0,3.6787818,1.903089987,0,3.39707055
1.973127854,0.477121255,3.71952825,0,0,0,0,0,0,1.176091259,0.77815125,4.285834528
0,0,0,0,0,0,0,0,0,1.69019608,0,3.380338025
0,0,0,0,0,0,0,0,0,1.230448921,0,3.064697031
2.250420002,0,3.713261354,0,0.477121255,4.293676077,1.079181246,0.477121255,3.800365898,0.954242509,0.301029996,3.493861639
0,0,0,0,0,0,2.025305865,0,3.394222979,0,0,0
0,0,0,0,0,0,1.113943352,0,3.193287743,0,0,0
1.653212514,0.301029996,3.462559781,1.612783857,0.602059991,3.889483987,0,0,0,2.167317335,0,3.39624166
0,0,0,0,0,0,0.602059991,0,3.511394128,0,0,0
0,0,0,0,0,0,1.681241237,0.477121255,3.914442636,1.69019608,0.903089987,4.640358353
0,0,0,1.556302501,0,3.29666519,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.23299611,0,3.372919897
0,0,0,1.875061263,0,3.407626509,0,0,0,2.155336037,0,3.305918004
