1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276
0.000159193,0,0.000115929,0.000111697,0.041787735,0.234608623,5.43E-05,9.22E-05,0.000114583,0,0,0.079936348,0.00011093,0,0.00013452,0.000129071,5.89E-05,8.40E-05,0.000137568,0.000121885,0.000131918,0,0.095970534,0,0.000133799,0.000108507,9.98E-05,5.43E-05,0,0,0,5.43E-05,0.00013452,0.00011658,0,0,0,2.10E-05,4.87E-05,0,0.000113174,0,0,0,7.52E-05,0,4.20E-05,0,0,0,0,0,0.008437185,0,0,3.33E-05,2.10E-05,0,0,0,0,0,2.10E-05,0,0,0,0,0,0,0.000595173,0.000385025,0.000356329,0.000410766,0.000542253,0.581875557,0.000123179,0.000268857,0.000335887,7.77E-05,0,0.000481055,0.000365304,0,0.00048258,0.000381349,0.000295896,0.000287587,0.000484085,0.000466302,0.000511763,0,0.000233151,0.000407853,0.000459066,0.000381349,0.000413604,0.000180453,0.000123179,0,0,0.000123179,0.000413604,0,0,0,0,0,0,0,0.000388585,0.000200896,0,0,0.000341358,0,0.000180453,0,0,0.000123179,0,0,0.000180453,0,0,0.000180453,7.77E-05,0,0,0,0,0,0,0,0,7.77E-05,0,0,0,0.000271662,0.000146827,0.000219407,0.000196658,0.299530595,0.000146827,3.67E-05,0.000172538,0.000185163,0.000168299,0,0.000185163,0.000209245,0,0.000201588,0.000186744,0.000143409,5.82E-05,0.000215028,0.000201588,0.000225737,3.67E-05,0.000135831,0.000170461,0.00022864,0.000181852,0.000186744,9.49E-05,3.67E-05,0,0.204723561,7.34E-05,0.000207168,0,0.000121937,8.52E-05,0,0,0,0,0.000161228,0,0,0,0.057507128,0,7.34E-05,0,0,0,0,0,0,0,0,8.52E-05,5.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000375992,0.000178537,0.000219231,0.000260336,0.147112132,0.000144885,0,0.000154827,0.000178537,0.000304848,5.16E-05,0.106992484,0.000264717,0,0.00027084,0.000262558,0.000133407,8.18E-05,0.000278292,0.000283429,0.000248102,8.18E-05,0.19647923,0.000289769,0.000230146,0.000239664,0.000262558,0,0,0,0.000236625,0,0.000326268,0,0.000144885,0.000171441,0.000144885,0,5.16E-05,0,0.000242585,0.000154827,0.000103218,0,0.000171441,0,0.000119832,0,8.18E-05,0,0,0,0,0,8.18E-05,8.18E-05,0,8.18E-05,0,0,0,5.16E-05,0,0,0,0,0,0,0
0.000146948,0,0.000107011,0.000103105,0.00012815,9.41E-05,5.01E-05,8.51E-05,0.000105769,0,0,9.21E-05,0.000102397,0,0.335390519,0.000119142,5.44E-05,7.75E-05,0.000126986,0.000112509,0.000121771,0,7.38E-05,0,0.000123507,0.180387895,9.21E-05,5.01E-05,0,0,0,5.01E-05,0.000124173,0.000107612,0,0,0,1.94E-05,4.50E-05,0,0.000104468,0,0,0,6.95E-05,0,3.87E-05,0,0,0,0,0,3.87E-05,0,0,3.07E-05,1.94E-05,0,0,0,0,0,1.94E-05,0,0,0,0,0,0,0.111084818,0.000357523,0.000330877,0.000381425,0.000503521,0.000415306,0.00011438,0.000249653,0.000311895,7.22E-05,0,0.000446694,0.000339211,0,0.00044811,0.00035411,0.000274761,0.000267045,0.000449508,0.000432995,0.000475209,0,0.000216497,0.000378721,0.000426275,0.4252856,0.000384061,0.000167564,0.00011438,0,0,0.00011438,0.000384061,0,0,0,0,0,0,0,0.000360829,0.000186546,0,0,0.000316975,0,0.000167564,0,0,0.00011438,0,0,0.000167564,0,0,0.000167564,7.22E-05,0,0,0,0,0,0,0,0,7.22E-05,0,0,0,0.190639025,0.000256947,0.000383962,0.000344152,0.000436452,0.000256947,6.42E-05,0.000301941,0.000324036,0.000294523,0,0.000324036,0.000366178,0,0.000352779,0.000326802,0.000250966,0.000101813,0.000376298,0.000352779,0.00039504,6.42E-05,0.000237705,0.000298307,0.00040012,0.382208485,0.000326802,0.00016605,6.42E-05,0,0.000298307,0.000128474,0.000362543,0,0.00021339,0.000149153,0,0,0,0,0.000282149,0,0,0,0.000250966,0,0.000128474,0,0,0,0,0,0,0,0,0.000149153,0.000101813,0,0,0,0,0,0,0,0,0,0,0,0,0.376304965,0.000148781,0.000182692,0.000216946,0.000305719,0.000120737,0,0.000129022,0.000148781,0.00025404,4.30E-05,0.000222345,0.000220597,0,0.0002257,0.000218799,0.000111173,6.82E-05,0.00023191,0.00023619,0.000206752,6.82E-05,0.00013633,0.000241474,0.000191789,0.239864058,0.000218799,0,0,0,0.000197187,0,0.00027189,0,0.000120737,0.000142868,0.000120737,0,4.30E-05,0,0.000202154,0.000129022,8.60E-05,0,0.000142868,0,9.99E-05,0,6.82E-05,0,0,0,0,0,6.82E-05,6.82E-05,0,6.82E-05,0,0,0,4.30E-05,0,0,0,0,0,0,0
0.020755374,0,7.52E-05,7.25E-05,0.216214103,0.079429143,3.52E-05,5.98E-05,7.43E-05,0,0,0.155422348,7.20E-05,0,8.73E-05,8.37E-05,3.82E-05,5.45E-05,8.92E-05,7.91E-05,8.56E-05,0,0.062251157,0,8.68E-05,7.04E-05,6.47E-05,3.52E-05,0,0,0,3.52E-05,8.73E-05,7.56E-05,0,0,0,1.36E-05,3.16E-05,0,7.34E-05,0,0,0,4.88E-05,0,2.72E-05,0,0,0,0,0,2.72E-05,0,0,2.16E-05,1.36E-05,0,0,0,0,0,1.36E-05,0,0,0,0,0,0,0.619173513,0.000125133,0.000115807,0.000133499,0.000176232,0.000145357,4.00E-05,8.74E-05,0.000109163,2.53E-05,0,0.125230523,0.000118724,0,0.000156839,0.000123938,9.62E-05,9.35E-05,0.000157328,0.000151548,0.000166323,0,7.58E-05,0.000132552,0.000149196,0.000123938,0.000134421,5.86E-05,4.00E-05,0,0,4.00E-05,0.000134421,0,0,0,0,0,0,0,0.00012629,6.53E-05,0,0,0.000110941,0,5.86E-05,0,0,4.00E-05,0,0,5.86E-05,0,0,5.86E-05,2.53E-05,0,0,0,0,0,0,0,0,2.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002579084,0.001668443,0.001544094,0.001779984,0.237326152,0.001938094,0.000533774,0.001165045,0.001455511,0.000336774,0,0.00208457,0.001582984,0,0.00209118,0.001652511,0.001282217,0.001246211,0.002097702,0.002020642,0.002217642,0,0.001010321,0.001767364,0.001989285,0.001652511,0.001792285,0.000781964,0.000533774,0,0,0.000533774,0.001792285,0,0,0,0,0,0,0,0.001683868,0.000870547,0,0,0.297322552,0,0.000781964,0,0,0.000533774,0,0,0.000781964,0,0,0.000781964,0.000336774,0,0,0,0,0,0,0,0,0.000336774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.765401728,0,0.000927429,0.000893574,0.001110637,0.000815675,0.000434026,0.000737488,0.000916661,0,0,0.000798366,0.000887441,0,0.001076164,0.001032568,0.000471367,0.000671617,0.001100543,0.000975079,0.001055345,0,0.000639271,0,0.001070396,0.000868052,0.000798366,0.000434026,0,0,0,0.000434026,0.001076164,0.000932639,0,0,0,0.000167904,0.000389861,0,0.000905393,0,0,0,0.00060193,0,0.000335808,0,0,0,0,0,0.000335808,0,0,0.000266122,0.000167904,0,0,0,0,0,0.000167904,0,0,0,0,0,0,0.182508098,0.000294431,0.000272487,0.094548566,0.124813928,0.000342017,9.42E-05,0.000205596,0.000256855,5.94E-05,0,0.14751396,0.00027935,0,0.000369032,0.00029162,0.000226274,0.00021992,0.000370183,0.000356584,0.000391349,0,0.000178292,0.000311888,0.00035105,0.00029162,0.000316286,0.000137994,9.42E-05,0,0,9.42E-05,0.000316286,0,0,0,0,0,0,0,0.000297153,0.000153626,0,0,0.000261038,0,0.000137994,0,0,9.42E-05,0,0,0.000137994,0,0,0.041536096,5.94E-05,0,0,0,0,0,0,0,0,5.94E-05,0,0,0,0.087149268,0.000117462,0.000175525,0.126018688,0.099959919,0.000117462,2.94E-05,0.00013803,0.000148131,0.000134639,0,0.177904962,0.000167396,0,0.000161271,0.000149395,0.000114727,4.65E-05,0.000172022,0.000161271,0.00018059,2.94E-05,0.000108665,0.000136369,0.000182912,0.000145482,0.000149395,7.59E-05,2.94E-05,0,0.000136369,5.87E-05,0.000165734,0,9.75E-05,6.82E-05,0,0,0,0,0.000128982,0,0,0,0.000114727,0,5.87E-05,0,0,0,0,0,0,0,0,0.040978804,4.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.115786143,4.58E-05,5.62E-05,0.080170033,0.056534555,3.71E-05,0,3.97E-05,4.58E-05,7.82E-05,1.32E-05,0.082165083,6.79E-05,0,0.083404769,6.73E-05,3.42E-05,2.10E-05,7.14E-05,7.27E-05,6.36E-05,2.10E-05,4.19E-05,7.43E-05,5.90E-05,6.15E-05,0.08085452,0,0,0,6.07E-05,0,8.37E-05,0,3.71E-05,4.40E-05,3.71E-05,0,1.32E-05,0,6.22E-05,3.97E-05,2.65E-05,0,4.40E-05,0,3.07E-05,0,2.10E-05,0,0,0,0,0,2.10E-05,0.025189645,0,2.10E-05,0,0,0,1.32E-05,0,0,0,0,0,0,0
0.402574899,0,0.000292872,0.000282181,0.140641778,0.000257582,0.000137061,0.000232891,0.000289472,0,0,0.000252115,0.000280245,0,0.000339841,0.000326074,0.000148853,0.00021209,0.00034754,0.00030792,0.000333267,0,0.020389375,0,0.00033802,0.000274122,0.000252115,0.000137061,0,0,0,0.000137061,0.000339841,0.118101515,0,0,0,5.30E-05,0.000123114,0,0.000285913,0,0,0,0.000190083,0,0.000106045,0,0,0,0,0,0.000106045,0,0,8.40E-05,5.30E-05,0,0,0,0,0,5.30E-05,0,0,0,0,0,0,0.44249707,0.000238349,0.000220585,0.000254283,0.101039847,0.000276871,7.63E-05,0.000166435,0.00020793,4.81E-05,0,0.000297796,0.000226141,0,0.00029874,0.000236073,0.000183174,0.00017803,0.000299672,0.000288663,0.000316806,0,0.000144332,0.075996635,0.085539254,0.000236073,0.000256041,0.000111709,7.63E-05,0,0,7.63E-05,0.000256041,0,0,0,0,0,0,0,0.000240553,0.000124364,0,0,0.000211317,0,0.000111709,0,0,7.63E-05,0,0,0.000111709,0,0,0.000111709,4.81E-05,0,0,0,0,0,0,0,0,4.81E-05,0,0,0,0.305022439,0.000411116,0.000614338,0.000550643,0.000698323,0.000411116,0.000102779,0.000483106,0.000518457,0.000471238,0,0.000518457,0.000585885,0,0.000564447,0.000522884,0.000401546,0.000162901,0.000602077,0.000564447,0.000632064,0.000102779,0.000380327,0.28685163,0.000640191,0.000509187,0.000522884,0.00026568,0.000102779,0,0.000477291,0.000205558,0.000580069,0,0.000341424,0.000238645,0,0,0,0,0.000451438,0,0,0,0.000401546,0,0.000205558,0,0,0,0,0,0,0,0,0.000238645,0.000162901,0,0,0,0,0,0,0,0,0,0,0,0,0.376931618,0.000446344,0.000548077,0.000650839,0.000917158,0.000362211,0,0.000387067,0.000446344,0.00076212,0.000129022,0.000667035,0.000661792,0,0.000677099,0.000656396,0.000333518,0.000204495,0.000695729,0.000708571,0.000620256,0.000204495,0.000408991,0.290493455,0.000575366,0.000599161,0.000656396,0,0,0,0.000591562,0,0.000815669,0,0.000362211,0.000428603,0.000362211,0,0.000129022,0,0.000606461,0.000387067,0.000258045,0,0.000428603,0,0.00029958,0,0.000204495,0,0,0,0,0,0.000204495,0.000204495,0,0.000204495,0,0,0,0.000129022,0,0,0,0,0,0,0
0.332561873,0,0.097017157,0.000233106,0.000289732,0.085326735,0.000113224,0.000192388,0.095890757,0,0,0.000208269,0.000231506,0,0.000280738,0.000269366,0.000122965,0.000175204,0.000287098,0.000254368,0.000275307,0,0.000166766,0,0.000279234,0.022871285,0.000208269,0.000113224,0,0,0,0.000113224,0.000280738,0.000243297,0,0,0,4.38E-05,0.000101703,0,0.000236189,0,0,0,0.000157025,0,8.76E-05,0,0,0,0,0,8.76E-05,0,0,6.94E-05,4.38E-05,0,0,0,0,0,4.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508370732,0.000685193,0.001023897,0.000917739,0.001163871,0.000685193,0.000171298,0.000805177,0.000864096,0.000785396,0,0.000864096,0.000976475,0,0.000940745,0.000871473,0.000669243,0.000271501,0.001003462,0.000940745,0.001053441,0.000171298,0.000633879,0.000795484,0.001066986,0.000848645,0.000871473,0.000442799,0.000171298,0,0.15989234,0.000342596,0.000966782,0,0.00056904,0.000397742,0,0,0,0,0.000752396,0,0,0,0.000669243,0,0.000342596,0,0,0,0,0,0,0,0,0.000397742,0.000271501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002547094,0,0.001854858,0.001787148,0.668603765,0.001631351,0.000868052,0.001474977,0.001833323,0,0,0.001596731,0.001774882,0,0.002152327,0.002065137,0.000942733,0.001343234,0.002201086,0.001950158,0.002110691,0,0.001278542,0,0.002140792,0.001736104,0.001596731,0.000868052,0,0,0,0.000868052,0.002152327,0.001865277,0,0,0,0.000335808,0.000779723,0,0.001810785,0,0,0,0.00120386,0,0.000671617,0,0,0,0,0,0.000671617,0,0,0.000532244,0.000335808,0,0,0,0,0,0.000335808,0,0,0,0,0,0,0.000336402,0.000217623,0.000201404,0.000232172,0.184201055,0.000252795,6.96E-05,0.000151962,0.000189849,4.39E-05,0,0.109032058,0.000206476,0,0.000272763,0.000215545,0.000167246,0.000162549,0.000273613,0.000263562,0.000289258,0,0.000131781,0.000230526,0.000259472,0.000215545,0.000233776,0.000101995,6.96E-05,0,0,6.96E-05,0.000233776,0,0,0,0,0,0,0,0.000219635,0.00011355,0,0,0.212428378,0,0.000101995,0,0,6.96E-05,0,0,0.02050106,0,0,0.000101995,4.39E-05,0,0,0,0,0,0,0,0,4.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001074262,0.000510107,0.000626374,0.000743816,0.315502327,0.000413956,0,0.000442362,0.000510107,0.000870995,0.000147454,0.000762326,0.000756333,0,0.000773828,0.000750167,0.000381163,0.000233709,0.000795119,0.000809796,0.000708864,0.000233709,0.000467418,0.000827912,0.000657561,0.000684755,0.000750167,0,0,0,0.000676071,0,0.000932194,0,0.000413956,0.000489832,0.000413956,0,0.000147454,0,0.000693099,0.000442362,0.000294908,0,0.196422489,0,0.000342378,0,0.000233709,0,0,0,0,0,0.000233709,0.000233709,0,0.000233709,0,0,0,0.000147454,0,0,0,0,0,0,0
0.00095516,0,0.000695572,0.000670181,0.000832978,0.000611757,0.00032552,0.000553116,0.000687496,0,0,0.000598774,0.000665581,0,0.485080733,0.000774426,0.000353525,0.000503713,0.000825407,0.000731309,0.000791509,0,0.000479453,0,0.000802797,0.000651039,0.000598774,0.00032552,0,0,0,0.00032552,0.000807123,0.000699479,0,0,0,0.000125928,0.000292396,0,0.000679045,0,0,0,0.09074098,0,0.000251856,0,0,0,0,0,0.000251856,0,0,0.000199591,0.000125928,0,0,0,0,0,0.000125928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000760654,0.000411116,0.000614338,0.000550643,0.000698323,0.000411116,0.000102779,0.000483106,0.000518457,0.000471238,0,0.000518457,0.000585885,0,0.169898481,0.000522884,0.000401546,0.000162901,0.000602077,0.000564447,0.000632064,0.000102779,0.000380327,0.000477291,0.000640191,0.000509187,0.157388079,0.00026568,0.000102779,0,0.000477291,0.000205558,0.000580069,0,0.000341424,0.000238645,0,0,0,0,0.000451438,0,0,0,0.161019959,0,0.000205558,0,0,0,0,0,0,0,0,0.000238645,0.000162901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001901636,0.001027789,0.001535846,0.001376609,0.001745807,0.001027789,0.000256947,0.001207765,0.001296144,0.001178094,0,0.001296144,0.001464713,0,0.001411117,0.00130721,0.001003865,0.000407252,0.001505193,0.001411117,0.001580161,0.000256947,0.000950818,0.478483792,0.001600478,0.001272967,0.00130721,0.000664199,0.000256947,0,0.001193226,0.000513895,0.001450174,0,0.000853561,0.000596613,0,0,0,0,0.001128594,0,0,0,0.001003865,0,0.000513895,0,0,0,0,0,0,0,0,0.000596613,0.000407252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
