R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4,Y
1.84509804,0,3.441099873,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,1.113943352,0,3.017196484,0,0,0,N
1.73239376,0.477121255,3.508719617,0,0,0,0,0,0,2.130333768,0.301029996,3.444684443,N
2.017033339,0,3.13008747,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.235528447,0,3.118691333,0,0,0,N
0,0,0,0,0,0,0,0,0,2.170261715,0,3.200960356,N
0,0,0,0,0,0,0,0,0,2.23299611,0.301029996,3.532769472,N
0,0,0,0,0,0,2.033423755,0,2.931339283,0,0,0,N
2.004321374,0,3.400398708,1.832508913,0,3.193124598,0,0,0,0,0,0,N
1.944482672,0,3.142787837,0,0,0,0,0,0,0,0,0,N
0,0,0,1.84509804,0,3.29666519,2.025305865,0.301029996,3.845567294,0,0,0,N
0,0,0,0.954242509,0,3.407626509,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.017033339,0,3.411049154,N
1.531478917,0,3.133538908,0,0,0,0,0,0,0,0,0,N
1.531478917,0,3.409187392,0.698970004,0,3.407626509,0,0,0,0,0,0,N
2.045322979,0,4.263486297,0,0,0,0,0,0,0,0,0,N
2.139879086,0,3.431117466,0,0,0,0,0,0,0,0,0,N
2.021189299,0,3.089745848,0,0,0,1.84509804,0.301029996,3.132555068,0,0,0,N
0,0,0,0.698970004,0.477121255,3.733151369,0,0,0,1.934498451,0,3.584424935,N
2.017033339,0.301029996,3.263617013,2.204119983,0,3.001568332,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.222716471,0,3.39624166,N
0,0,0,1.763427994,0,3.407626509,1.531478917,0,3.414484116,0,0,0,N
0,0,0,2.164352856,0,3.305544385,1.176091259,0,3.017196484,0,0,0,N
0,0,0,0,0,0,1.544068044,0.301029996,3.806064905,1.740362689,0,3.610660163,N
1.51851394,0,2.662948622,0,0,0,2.181843588,0,3.6787818,0,0,0,N
0,0,0,0,0,0,0,0,0,2.149219113,0.301029996,3.240240189,N
2.217483944,0,3.678499248,0,0,0,0,0,0,0,0,0,N
1.72427587,0.477121255,3.648428849,1.755874856,0,3.884747764,0,0,0,1.84509804,0,3.39707055,N
1.86332286,0,3.710217388,0,0,0,0,0,0,0,0,0,N
0,0,0,1.919078092,0.301029996,3.670245853,2.181843588,0,3.494154594,0,0,0,N
1.505149978,0.301029996,3.778236085,2.152288344,0,3.483136628,1.431363764,0.602059991,3.757504082,0,0,0,N
0,0,0,2.117271296,0,3.001568332,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.230448921,0.301029996,3.373093967,N
2.068185862,0,3.301136167,0,0,0,0,0,0,0,0,0,N
1.86332286,0.477121255,3.877845206,1.477121255,0,3.679763559,0,0,0,0,0,0,N
1.653212514,0,2.662948622,0,0,0,0,0,0,1.342422681,0,3.68136802,N
1.505149978,0.301029996,4.327879898,1.342422681,0.301029996,4.202145325,2.071882007,0.301029996,4.311550524,0,0,0,N
2.146128036,0.477121255,4.074278867,1.361727836,0.301029996,4.012769193,0.77815125,0,3.626694535,0,0,0,N
0,0,0,0,0,0,2.184691431,0,3.118691333,0,0,0,N
0,0,0,1.176091259,0,3.708656505,0,0,0,1.903089987,0,3.885454931,N
2.071882007,0,3.089745848,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,1.880813592,0,3.414484116,1.995635195,0,3.129826745,N
0,0,0,0,0,0,2.167317335,0,3.217774402,0,0,0,N
1.913813852,0,3.108157396,1.62324929,0,3.106596513,0,0,0,0,0,0,N
0,0,0,0,0,0,1.176091259,0,3.017196484,0,0,0,N
1.51851394,0.477121255,3.531055083,1.740362689,0.301029996,3.6729502,0,0,0,0,0,0,N
1.959041392,0.301029996,3.445125214,2.149219113,0,3.139879086,0,0,0,0.954242509,0.301029996,3.689814862,N
0,0,0,1.477121255,0,3.679763559,0,0,0,0,0,0,N
0,0,0,1.838849091,0.301029996,3.493015918,0,0,0,0,0,0,N
0,0,0,0,0,0,2.068185862,0,3.39707055,0,0,0,N
0,0,0,2.120573931,0,3.001568332,0,0,0,0,0,0,N
0,0,0,0,0,0,2.025305865,0,3.494802604,0,0,0,N
0,0,0,0,0,0,0,0,0,2.250420002,0.301029996,3.463771221,N
0,0,0,1.643452676,0.301029996,3.509518274,0,0,0,0,0,0,N
1.544068044,0.301029996,3.132074001,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.633468456,0,3.408333676,N
0,0,0,1.342422681,0,3.407626509,0,0,0,1.322219295,0,3.408333676,N
0,0,0,0,0,0,0,0,0,2.173186268,0.477121255,3.52455465,N
0,0,0,0,0,0,2.184691431,0.301029996,3.819834394,0,0,0,N
1.51851394,0,3.409187392,0,0,3.407626509,0,0,0,0,0,0,N
2.021189299,0,3.172705261,1.301029996,0,3.193124598,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.152288344,0,4.043621024,N
1.880813592,0,3.723687452,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.041392685,0.301029996,3.753958909,0,0,0,N
2.214843848,0,2.714808585,0,0,0,1.959041392,0,3.395149218,0,0,0,N
2.204119983,0,3.214684585,0,0,0,0,0,0,1.86332286,0,3.133538908,N
1.505149978,0.77815125,3.802939014,0,0,0,2.045322979,0,3.408460537,1.380211242,0,3.167317335,N
0,0,0,0,0,0,1.531478917,0,3.444249174,0,0,0,N
2.195899652,0,3.169302314,0,0,0,0,0,0,1.857332496,0,3.132866542,N
1.949390007,0,3.710217388,1.785329835,0,3.708656505,0,0,0,0,0,0,N
1.86332286,0.477121255,3.778530907,0,0,0,1.886490725,0.477121255,3.716442866,1.633468456,0.301029996,3.563618222,N
1.230448921,0,3.098997634,0,0,0,0,0,0,0,0,0,N
1.51851394,0,3.638647608,0,0,0,1.886490725,0,3.681241237,1.431363764,0,3.828966365,N
0,0,0,0,0,0,2.204119983,0,2.838805681,0,0,0,N
2.093421685,0.477121255,3.558234728,0,0,0,0,0,0,0,0,0,N
0,0,0,1.959041392,0.698970004,4.018937433,0,0,0,0,0,0,N
0,0,0,1.959041392,0,3.139879086,1.544068044,0,3.139879086,0,0,0,N
1.681241237,0.301029996,3.340410899,1.897627091,0.477121255,3.81122416,2.071882007,0,3.720751325,1.204119983,0.477121255,4.069104356,N
2.195899652,0,3.169302314,0,0,0,0,0,0,0,0,0,N
1.886490725,0.477121255,3.504589784,1.69019608,0.301029996,3.951666591,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.230448921,0.301029996,3.620437447,N
0,0,0,0,0,0,0,0,0,1.322219295,0,3.341922592,N
1.913813852,0,3.384758869,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.161368002,0,3.39707055,0,0,0,N
1.748188027,0,3.38393499,0,0,0,0,0,0,2.123851641,0,3.233938144,N
0,0,0,0,0,0,2.243038049,0.301029996,2.847857287,0,0,0,N
0,0,0,0,0,0,2.149219113,0,3.6787818,0,0,0,N
2.123851641,0,3.183411103,1.568201724,0,3.407626509,0,0,0,0,0,0,N
0.84509804,0.903089987,3.77669792,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.653212514,0,3.064697031,N
0,0,0,0,0,0,2.033423755,0.301029996,3.457078293,0,0,0,N
0,0,0,0,0,0,0,0,0,2.021189299,0.301029996,3.470019712,N
0,0,0,1.954242509,0,3.245512668,0,0,0,0,0,0,N
1.591064607,0,3.409187392,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,1.431363764,0,3.268157915,0,0,0,N
2.217483944,0,2.714808585,0,0,0,0,0,0,1.934498451,0,3.378770989,N
2.117271296,0.301029996,3.390367187,0,0,0,0,0,0,0,0,0,N
2.136720567,0,3.13008747,0,0,0,0,0,0,0,0,0,N
2.004321374,0,3.163475845,0,0,0,0,0,0,0,0,0,N
1.886490725,0.477121255,3.853613544,2.012837225,0.301029996,3.762818277,0,0,0,1.322219295,0.477121255,4.13624239,N
2.045322979,0.301029996,3.26462429,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.139879086,0,3.138173761,0,0,0,N
0,0,0,0,0,0,1.113943352,0,3.017196484,0,0,0,N
0,0,0,0,0,0,2.033423755,0,3.494802604,1.342422681,0,3.341922592,N
1.875061263,0.301029996,3.357115416,1.949390007,0.301029996,3.587563863,0,0,0,2.260071388,0.301029996,3.490480051,N
0,0,0,0,0,0,0,0,0,2.033423755,0,3.071889901,N
0,0,0,1.949390007,0,3.130922206,0,0,0,0,0,0,N
0,0,0,1.763427994,0,3.106596513,2.017033339,0.301029996,3.418065201,0,0,0,N
1.973127854,0.477121255,3.84613183,2.045322979,0,3.140405056,0,0,0,0,0,0,N
2.146128036,0,3.17356616,0,0,0,0,0,0,0,0,0,N
0,0,0,1.531478917,0,3.679763559,1.698970004,0,3.741403917,1.568201724,0.301029996,4.011870052,N
0,0,0,0,0,0,0,0,0,2,0.301029996,3.397104443,N
1.792391689,0,3.493004698,0,0,0,0,0,0,0,0,0,N
