B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4,Y
0,0,0,0,0,2.963978618,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.062953974,0,0,N
0,2.649821227,1.134377378,0.602059991,0,1.653230526,0,0.477121255,0,0,0,0,0.477121255,0,2.614245641,0,N
0,0,0,0,0.301029996,1.61157353,0,-0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.118691333,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.396469907,3.017196484,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.931339283,0,0,N
0,0,0,0,0,3.400398708,0,0,0,0,1.132426758,0,0,0,0,0,N
0,0,0,0,0,3.142787837,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.415851598,0,0,0,1.098113835,1.91467186,0.301029996,N
0,0,0,0,0,0,0,0,0,2.930505254,0,0,0,0,0,0,N
0.698970004,3.037684562,1.237522099,-0.397940009,0.301029996,0,2.054357662,-0.301029996,0,0,0,0,0,0,0,0,N
0.698970004,2.686867699,0,-0.397940009,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0.995151282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,2.754421701,1.471719237,0,0,3.409187392,0,0,0,0,1.157206506,0,0,0,0,0,N
0,1.270991035,0,0,0.301029996,0,4.263486297,-0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.431117466,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.301029996,2.010564602,0,-0.301029996,0,0,0,0,0,1.094571065,0,0.301029996,N
0,0,0,0,0.301029996,2.485465763,0,0,0.301029996,0,1.679349038,-0.301029996,0,0,0,0,N
0,3.113622157,0,0,0,0,0,0,0,0,1.737342661,0,0,0.799712539,0,0,N
0.77815125,3.797903232,1.584157193,-0.079181246,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0.495631288,0,0,0,0,0,0,0.301029996,3.377751804,0,-0.301029996,N
0.477121255,0.967942949,0,-0.477121255,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.375156861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.103773661,0,0,0,0,3.678499248,0,0,0,0,0,0,0,0,0,N
0,2.530058821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.602059991,2.959796777,0,-0.602059991,0,0,3.710217388,0,0,0,0,0,0,0,0,0,N
0,1.696236777,1.540561055,0.301029996,0,0,0,0,0,0,1.673190234,0.301029996,0,0,3.494154594,0,N
0,3.516110768,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.089804153,1.097057342,0.176091259,0.477121255,0,3.47812563,-0.176091259,0.477121255,0,3.006015373,-0.477121255,0.301029996,1.992045725,2.144046682,0.301029996,N
0,1.883795167,0,0,0,0,0,0,0,0,3.001568332,0,0,0,0,0,N
0,1.725061202,0,0,0,1.501795618,0,0,0,0,0,0,0,0,0,0,N
0.698970004,3.042525618,0.929616624,0.204119983,0.698970004,1.755358134,1.353073769,-0.22184875,0,0,2.142132979,0,0,0,0,0,N
0,1.998186973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,2.783057392,0,0.301029996,0.301029996,0,3.454531791,0,0.602059991,2.177177587,2.12019834,-0.301029996,0,0,4.018345866,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0.477121255,3.093192983,0,-0.477121255,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0.970571271,0,0,N
0.84509804,3.801285739,1.636974978,-0.146128036,0.477121255,3.17356616,3.839854985,0,0.301029996,0,3.703346141,0,0.301029996,0,1.751633272,-0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.118691333,0,0,N
0,0,0,0,0.301029996,3.089745848,0,-0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.217774402,0,-0.301029996,N
0,0,0,0,0,1.116931321,0,0,0.301029996,0,3.106596513,-0.301029996,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.540075229,0,0,N
